,FDR,fold
HP0270,4.46E-01,1.150397884
HP0271,4.96E-06,1.967423696
HP0272,4.03E-05,1.841040997
HP0273,1.05E-05,2.105082274
HP0274,2.92E-01,1.211008017
HP0275,2.01E-01,0.8132116893
HP0276,2.39E-01,1.21814626
HP0277,2.80E-01,1.233692862
HP0278,8.61E-07,2.118022236
HP0279,2.58E-08,2.546219355
HP0280,3.58E-02,1.367219174
HP0281,1.76E-01,1.32421258
HP0282,6.17E-05,1.952638707
HP0283,2.34E-02,1.401008605
HP0284,2.94E-01,1.265090152
HP0285,2.42E-03,1.598358975
HP0286,8.77E-07,2.183041033
HP0287,1.01E-10,2.851287428
HP0288,8.02E-01,1.053564162
HP0289,2.63E-03,1.780961064
HP0290,3.60E-08,2.221995288
HP0291,1.30E-09,2.39059058
HP0292,6.39E-08,2.320813954
HP0293,3.62E-05,3.054077645
HP0294,5.02E-01,0.8752207214
HP0295,9.08E-01,0.9307431019
HP0296,3.15E-03,2.141269784
HP0297,6.51E-01,1.166707011
HP0298,1.63E-08,0.3898384288
HP0299,4.77E-36,0.1632611548
HP0300,1.54E-33,0.1969931333
HP0301,7.14E-31,0.1928382301
HP0302,1.57E-34,0.1937723687
HP0303,1.29E-15,0.3495122738
HP0304,3.90E-02,0.7200650883
HP0305,2.06E-01,0.7370898394
HP0306,1.92E-03,1.734076634
HP0307,4.48E-15,3.25158393
HP0308,1.62E-12,3.20514707
HP0309,2.66E-04,0.5600267727
HP0310,1.09E-09,0.3502484185
HP0311,9.07E-07,0.426654161
HP0312,2.18E-03,0.6253993617
HP0313,2.90E-01,1.175760867
HP0314,7.91E-01,0.9394331487
HP0315,6.82E-04,0.602572225
HP0316,1.63E-04,0.5921626821
HP0317,2.20E-04,0.4957420536
HP0318,2.28E-01,1.274051955
HP0319,5.34E-02,0.7322326785
HP0320,1.46E-04,0.4473645654
HP0321,1.31E-02,0.6876907286
HP0322,9.05E-02,0.7794458718
HP0323,5.55E-09,0.3629109332
HP0324,7.20E-01,1.080112997
HP0325,1.46E-04,1.932268625
HP0326,4.06E-12,2.808756651
HP0327,4.19E-05,3.332049717
HP0328,4.06E-04,1.743788914
HP0329,4.16E-01,1.207296313
HP0330,2.04E-01,0.7930126722
HP0331,1.25E-02,0.6544626702
HP0332,1.66E-01,0.7733828443
HP0333,4.69E-01,1.117571543
HP0334,7.59E-03,1.513669134
HP0335,4.38E-01,0.8119222981
HP0336,9.20E-01,0.9766779392
HP0337,6.37E-02,1.358910867
HP0338,7.37E-01,1.060873191
HP0339,6.88E-01,1.075642035
HP0340,6.72E-01,0.8799537165
HP0341,1.31E-03,0.4339987958
HP0342,3.13E-02,0.5387536929
HP0343,2.52E-01,0.4167049267
HP0344,8.02E-01,0.8672269595
HP0345,9.78E-21,7.405341476
HP0346,2.23E-13,4.547939687
HP0347,4.52E-02,2.082889168
HP0348,5.22E-05,2.034287785
HP0349,9.61E-01,0.988924096
HP0350,6.31E-01,0.9074469509
HP0351,3.05E-02,1.382814806
HP0352,6.01E-01,1.088680482
HP0353,1.98E-03,1.570157859
HP0354,8.59E-01,1.032711623
HP0355,4.24E-01,0.88130401
HP0356,8.63E-01,0.9630757668
HP0357,3.03E-01,1.197348683
HP0358,2.27E-04,0.5601428681
HP0359,1.32E-01,0.3726780567
HP0360,9.65E-05,0.5817520129
HP0361,2.77E-01,1.396159113
HP0362,3.15E-06,2.111530293
HP0363,9.40E-02,1.284018343
HP0364,5.83E-01,1.104281921
HP0365,3.58E-02,1.539465655
HP0366,1.57E-03,0.6098850781
HP0367,9.31E-04,1.605475854
HP0368,3.39E-05,2.16204147
HP0369,6.43E-05,1.917123883
HP0370,3.24E-01,0.8341765098
HP0371,6.65E-01,0.9135395736
HP0372,2.00E-01,0.7874975126
HP0373,7.17E-01,1.08342415
HP0374,1.16E-06,0.4286172434
HP0375,1.30E-07,0.4189243472
HP0376,1.14E-13,4.058413703
HP0377,1.88E-02,0.668840771
HP0378,9.66E-01,0.9908682658
HP0379,8.03E-01,1.042998224
HP0380,6.08E-01,1.099912496
HP0381,7.50E-01,1.055605732
HP0382,5.89E-03,0.6288604448
HP0383,4.30E-05,2.597816649
HP0384,3.60E-01,1.213424701
HP0385,1.17E-02,0.6930662092
HP0386,7.54E-01,1.082177638
HP0387,1.99E-03,1.851119577
HP0388,7.13E-01,0.9247843969
HP0389,9.24E-01,0.9525570829
HP0390,4.10E-01,0.7734238321
HP0391,1.15E-02,0.6367382956
HP0392,9.27E-02,0.7361301056
HP0393,9.52E-01,1.011794388
HP0394,1.54E-01,1.616776192
HP0395,1.71E-01,1.265819864
HP0396,4.32E-01,1.137843247
HP0397,6.84E-01,0.9262881823
HP0398,4.18E-01,1.15208715
HP0399,1.19E-01,0.7497502306
HP0400,5.55E-01,0.9053035711
HP0401,1.52E-06,2.062474312
HP0402,8.99E-04,1.590041897
HP0403,2.16E-04,1.760284704
HP0404,1.86E-04,0.5974482922
HP0405,8.10E-02,0.7690071691
HP0406,5.70E-01,0.9119903987
HP0407,9.35E-01,0.9832381189
HP0408,1.63E-11,0.3306720482
HP0409,5.55E-09,0.4141861872
HP0410,1.61E-01,1.317825007
HP0411,1.59E-01,1.392712582
HP0412,3.56E-02,0.4223247485
HP0413,8.86E-06,4.188071952
HP0414,2.83E-07,2.252631743
HP0415,1.05E-06,1.987567043
HP0416,1.14E-01,0.7731202836
HP0417,3.22E-02,0.7130415205
HP0418,4.18E-01,1.139509963
HP0419,1.59E-03,1.776703938
HP0420,2.41E-02,1.396511999
HP0421,2.89E-01,1.183215165
HP0422,1.75E-01,0.8183494851
HP0423,1.66E-01,1.254094182
HP0424,6.35E-01,1.143998784
HP0425,9.66E-01,0.988240319
HP0426,6.16E-01,0.8622855443
HP0427,1.29E-01,1.256017232
HP0428,8.31E-03,1.48773657
HP0429,4.26E-05,1.890912642
HP0430,1.07E-06,2.264361959
HP0431,9.76E-01,1.012706558
HP0432,9.05E-01,1.051717363
HP0433,6.84E-01,1.116339375
HP0434,7.72E-01,1.221232857
HP0435,2.60E-01,1.577730934
HP0436,6.88E-01,1.263323451
HP0437,8.30E-01,1.058107817
HP0438,2.49E-01,1.234732256
HP0439,3.80E-01,1.261347362
HP0440,6.45E-01,0.8247860106
HP0441,4.44E-01,1.50655252
HP0442,6.11E-01,1.414451957
HP0443,6.30E-01,0.6892537574
HP0444,8.30E-01,1.075693758
HP0445,1.17E-01,0.7853054174
HP0446,1.05E-01,1.604980156
HP0447,2.22E-01,2.454044501
HP0448,2.23E-13,2.87485325
HP0449,6.35E-03,2.488661544
HP0450,9.71E-01,0.991933358
HP0451,4.92E-05,1.955660059
HP0452,1.83E-01,1.774058551
HP0453,8.39E-02,2.900213753
HP0454,2.45E-01,1.858776771
HP0455,9.22E-04,1.96590083
HP0456,3.08E-01,1.889014759
HP0457,4.92E-02,2.60713202
HP0458,9.30E-02,2.119931142
HP0459,2.85E-01,1.9913062
HP0460,1.09E-01,0.3699262001
HP0461,2.11E-10,0.3707279299
HP0462,7.64E-05,5.050668419
HP0463,8.53E-01,0.9004108157
HP0464,6.50E-02,1.871028867
HP0465,5.68E-02,1.964761003
HP0466,9.11E-01,1.021647163
HP0467,1.28E-01,1.313301718
HP0468,9.25E-01,1.018360167
HP0469,3.46E-02,0.6924639915
HP0470,4.88E-03,0.6116565564
HP0471,9.54E-01,0.9875737632
HP0472,9.14E-01,1.026045405
HP0473,6.04E-02,1.408805987
HP0474,7.11E-02,1.734747818
HP0475,3.22E-02,1.622456843
HP0476,2.53E-02,0.7255148659
HP0477,5.28E-01,0.8299153307
HP0478,1.82E-01,1.547304103
HP0479,1.52E-01,1.889372052
HP0480,2.55E-03,0.5884304518
HP0481,1.71E-02,0.6570364578
HP0482,5.45E-02,1.376907111
HP0483,3.94E-06,2.588672966
HP0484,3.65E-05,2.384999464
HP0485,6.50E-07,0.4260918942
HP0486,5.66E-02,1.551305336
HP0487,8.55E-02,1.372004562
HP0488,4.49E-02,1.744389281
HP0489,8.70E-01,1.146771677
HP0490,8.18E-01,1.042460414
HP0491,3.12E-01,0.7582076213
HP0492,9.18E-02,1.350490431
HP0493,8.07E-01,1.051683488
HP0494,7.50E-01,0.9061758052
HP0495,1.25E-01,0.7799824733
HP0496,2.28E-02,1.40962937
HP0497,3.94E-05,0.4875666726
HP0498,2.85E-02,0.7112452367
HP0499,6.16E-02,1.476901976
HP0500,4.23E-03,0.6347750405
HP0501,1.17E-01,0.7731817643
HP0502,1.80E-01,1.287083703
HP0503,4.44E-01,1.374525617
HP0504,1.51E-12,3.455279295
HP0505,2.51E-06,2.636291178
HP0506,8.65E-03,0.6859902078
HP0507,9.59E-02,1.323010549
HP0508,1.77E-05,0.5504676325
HP0509,3.77E-04,0.6113774005
HP0510,3.25E-11,0.3542384144
HP0511,1.65E-03,0.6119677683
HP0512,2.63E-03,0.5895945527
HP0513,9.86E-04,2.057681087
HP0514,3.21E-02,0.678921616
HP0515,1.35E-04,0.538774093
HP0516,8.42E-03,0.6695797767
HP0517,9.66E-01,1.009508424
HP0518,3.69E-03,1.529259105
HP0519,2.05E-01,1.295856123
HP0520,1.39E-03,0.536244571
HP0521,3.81E-02,0.6723773722
HP0522,2.34E-03,0.6091277895
HP0523,2.65E-01,0.840314616
HP0524,4.37E-01,0.8842479968
HP0525,1.55E-02,0.6855875554
HP0526,4.04E-04,0.5458775596
HP0527,5.31E-01,0.8979287384
HP0528,1.40E-01,1.251762087
HP0529,1.58E-02,1.433092152
HP0530,5.71E-01,0.8967305467
HP0531,2.78E-01,0.8150583957
HP0532,6.39E-03,0.6240516153
HP0533,7.72E-01,0.9383400993
HP0534,7.83E-04,0.6236034757
HP0535,7.49E-01,0.930922566
HP0536,5.35E-03,0.5786992126
HP0537,4.42E-13,2.918499864
HP0538,7.26E-02,1.301226815
HP0539,2.30E-05,2.914418553
HP0540,4.19E-08,2.815700703
HP0541,8.88E-02,0.7367840407
HP0542,1.79E-03,0.5767765147
HP0543,8.17E-06,0.4646832235
HP0544,5.40E-01,1.108319772
HP0545,2.78E-01,0.813902848
HP0546,5.69E-01,0.8055463677
HP0547,2.01E-02,0.5696714419
HP0548,1.59E-02,0.6705574119
HP0549,3.94E-06,0.4959316091
HP0550,1.01E-03,0.555029096
HP0551,4.00E-02,0.6682348984
HP0552,6.30E-01,0.9112264403
HP0553,2.48E-01,1.208952443
HP0554,4.27E-01,1.153534109
HP0555,2.07E-01,1.325123915
HP0556,1.46E-10,0.3130935316
HP0557,9.57E-01,1.014336736
HP0558,1.35E-01,0.7576147597
