,FDR,fold
HP1507,6.23E-03,1.627693031
HP1508,2.52E-04,1.659532075
HP1509,3.28E-02,0.7381950047
HP1510,4.29E-01,0.8678586464
HP1511,8.67E-06,2.003804477
HP1512,4.11E-11,0.2961483021
HP1513,4.58E-05,0.5655138609
HP1514,1.10E-03,0.5913938094
HP1515,8.33E-01,1.051222898
HP1516,4.95E-01,0.8772335508
HP1517,5.78E-01,0.9008419966
HP1518,3.49E-02,0.7416353683
HP1519,3.45E-01,1.64446247
HP1520,6.72E-01,1.124128228
HP1521,5.04E-01,1.500611304
HP1522,3.14E-01,0.849100785
HP1523,6.63E-05,2.911712461
HP1524,1.98E-01,0.7858346386
HP1525,9.39E-02,1.355523798
HP1526,2.26E-12,0.3230114864
HP1527,4.11E-48,0.10025148
HP1528,1.79E-03,18.50257701
HP1529,2.20E-02,1.519514355
HP1530,5.08E-01,0.8910705461
HP1531,7.77E-02,0.7674269315
HP1532,3.86E-02,0.7492643823
HP1533,5.11E-01,1.107270018
HP1534,3.34E-04,1.86430289
HP1535,8.30E-01,1.058107817
HP1536,8.11E-01,0.8160070108
HP1537,5.87E-01,1.111938515
HP1538,9.16E-01,0.9754550094
HP1539,4.54E-01,0.8633189702
HP1540,6.11E-01,1.118199628
HP1541,3.45E-01,1.190793487
HP1542,9.31E-04,0.6101248489
HP1543,6.41E-04,1.605162901
HP1544,8.85E-05,1.947197379
HP1545,7.28E-06,2.372271059
HP1546,6.54E-08,2.094893718
HP1547,1.74E-01,1.264509856
HP1548,7.52E-01,1.069818541
HP1549,2.15E-01,1.246229106
HP1550,3.45E-02,0.7249750257
HP1551,5.77E-05,0.4961102288
HP1552,3.63E-02,0.7496265582
HP1553,5.57E-01,1.102236933
HP1554,8.43E-01,1.053256287
HP1555,5.95E-01,1.114879595
HP1556,6.78E-01,0.9168847342
HP1557,2.35E-01,0.7515126379
HP1558,6.45E-01,0.9106223381
HP1559,9.71E-01,0.9906363481
HP1560,3.48E-03,0.6534696051
HP1561,1.65E-11,0.3141803297
HP1562,1.06E-04,0.4973901227
HP1563,1.41E-02,0.2733881527
HP1564,1.91E-15,0.2522107347
HP1565,9.25E-01,1.037838874
HP1566,2.24E-02,2.524699118
HP1567,1.05E-04,2.160765493
HP1568,1.60E-05,1.885188748
HP1569,9.87E-07,2.034960692
HP1570,9.76E-08,2.360396642
HP1571,3.98E-10,2.522457811
HP1572,3.11E-15,3.126534582
HP1573,2.06E-01,1.217331852
HP1574,9.25E-05,0.5194959516
HP1575,6.76E-02,0.7180781351
HP1576,4.69E-01,1.127940163
HP1577,6.24E-02,1.327207231
HP1578,1.13E-01,0.8010156183
HP1579,7.55E-08,2.229166679
HP1580,8.28E-08,2.001207635
HP1581,2.34E-03,1.551093598
HP1582,2.33E-12,0.2999202931
HP1583,4.97E-06,0.4819756428
HP1584,2.60E-01,1.257839114
HP1585,2.20E-02,1.511531145
HP1586,8.54E-04,1.803531229
HP1587,1.87E-03,1.732047599
HP1588,1.02E-05,0.4100889811
HP1589,7.95E-02,1.868915887
HP1590,1.07E-04,0.4842389734
