,gene,1' pH7,1' pH5,16' pH7,16' pH5,1' pH7 density,16' pH7 density,1' pH5 density,16' pH5 density
408,HP0409,41,43,44,42,0.026920551543007223,0.028890347997373604,0.028233749179251477,0.02757715036112935
409,HP0410,40,40,41,41,0.05361930294906166,0.054959785522788206,0.05361930294906166,0.054959785522788206
410,HP0411,20,20,20,22,0.06369426751592357,0.06369426751592357,0.06369426751592357,0.07006369426751592
411,HP0412,4,4,4,4,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736
412,HP0413,26,25,23,23,0.0323785803237858,0.028642590286425903,0.031133250311332503,0.028642590286425903
413,HP0414,15,15,15,15,0.03631961259079903,0.03631961259079903,0.03631961259079903,0.03631961259079903
414,HP0415,67,66,65,65,0.03586723768736617,0.034796573875803,0.035331905781584586,0.034796573875803
415,HP0416,53,53,53,53,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
416,HP0417,81,82,82,82,0.04155977424320164,0.04207285787583376,0.04207285787583376,0.04207285787583376
417,HP0418,33,33,33,33,0.03286852589641434,0.03286852589641434,0.03286852589641434,0.03286852589641434
418,HP0419,37,37,37,37,0.04731457800511509,0.04731457800511509,0.04731457800511509,0.04731457800511509
419,HP0420,21,20,20,20,0.04941176470588235,0.047058823529411764,0.047058823529411764,0.047058823529411764
420,HP0421,45,43,42,42,0.038593481989708404,0.036020583190394515,0.03687821612349914,0.036020583190394515
421,HP0422,90,90,89,89,0.04880694143167028,0.048264642082429504,0.04880694143167028,0.048264642082429504
422,HP0423,18,19,17,17,0.01950162513542795,0.018418201516793065,0.020585048754062838,0.018418201516793065
423,HP0424,59,58,56,56,0.03178879310344827,0.03017241379310345,0.03125,0.03017241379310345
424,HP0425,31,32,31,31,0.0248,0.0248,0.0256,0.0248
425,HP0426,74,75,74,74,0.04270051933064051,0.04270051933064051,0.04327755337564916,0.04270051933064051
426,HP0427,8,8,8,8,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.024096385542168676
427,HP0428,21,21,20,20,0.03790613718411552,0.036101083032490974,0.03790613718411552,0.036101083032490974
428,HP0429,3,3,3,3,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572
429,HP0430,11,11,11,11,0.06707317073170732,0.06707317073170732,0.06707317073170732,0.06707317073170732
430,HP0431,20,20,20,20,0.029282576866764276,0.029282576866764276,0.029282576866764276,0.029282576866764276
431,HP0432,26,26,25,25,0.029312288613303268,0.02818489289740699,0.029312288613303268,0.02818489289740699
432,HP0433,15,16,15,15,0.03409090909090909,0.03409090909090909,0.03636363636363636,0.03409090909090909
433,HP0434,40,41,41,41,0.03430531732418525,0.03516295025728988,0.03516295025728988,0.03516295025728988
434,HP0435,19,20,18,18,0.033216783216783216,0.03146853146853147,0.03496503496503497,0.03146853146853147
435,HP0436,17,17,17,17,0.04696132596685083,0.04696132596685083,0.04696132596685083,0.04696132596685083
436,HP0437,10,10,10,10,0.023529411764705882,0.023529411764705882,0.023529411764705882,0.023529411764705882
437,HP0438,33,34,33,34,0.02578125,0.02578125,0.0265625,0.0265625
438,HP0439,31,30,30,30,0.028258887876025523,0.027347310847766638,0.027347310847766638,0.027347310847766638
439,HP0440,63,62,61,61,0.03103448275862069,0.030049261083743842,0.030541871921182268,0.030049261083743842
440,HP0441,64,63,63,64,0.026446280991735537,0.02603305785123967,0.02603305785123967,0.026446280991735537
441,HP0442,6,6,6,6,0.022813688212927757,0.022813688212927757,0.022813688212927757,0.022813688212927757
442,HP0443,5,5,5,5,0.016722408026755852,0.016722408026755852,0.016722408026755852,0.016722408026755852
443,HP0444,40,41,37,37,0.02631578947368421,0.024342105263157894,0.026973684210526316,0.024342105263157894
444,HP0445,5,6,4,4,0.027472527472527472,0.02197802197802198,0.03296703296703297,0.02197802197802198
445,HP0446,14,14,14,14,0.01804123711340206,0.01804123711340206,0.01804123711340206,0.01804123711340206
446,HP0447,35,35,35,35,0.03243744207599629,0.03243744207599629,0.03243744207599629,0.03243744207599629
447,HP0448,19,19,19,19,0.04960835509138381,0.04960835509138381,0.04960835509138381,0.04960835509138381
448,HP0449,59,59,59,59,0.04169611307420495,0.04169611307420495,0.04169611307420495,0.04169611307420495
449,HP0450,2,2,2,2,0.015267175572519083,0.015267175572519083,0.015267175572519083,0.015267175572519083
450,HP0451,14,14,14,15,0.03317535545023697,0.03317535545023697,0.03317535545023697,0.035545023696682464
451,HP0452,66,66,65,66,0.04249839021249195,0.04185447520927238,0.04249839021249195,0.04249839021249195
452,HP0453,102,103,100,100,0.033311561071195296,0.032658393207054215,0.03363814500326584,0.032658393207054215
453,HP0454,25,25,25,25,0.03597122302158273,0.03597122302158273,0.03597122302158273,0.03597122302158273
454,HP0455,5,5,5,5,0.016233766233766232,0.016233766233766232,0.016233766233766232,0.016233766233766232
455,HP0456,5,5,5,5,0.011135857461024499,0.011135857461024499,0.011135857461024499,0.011135857461024499
456,HP0457,5,5,5,5,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
457,HP0458,0,0,0,0,0.0,0.0,0.0,0.0
458,HP0459,46,47,44,44,0.017877963466770307,0.017100660707345512,0.018266614846482704,0.017100660707345512
459,HP0460,13,13,13,13,0.026804123711340205,0.026804123711340205,0.026804123711340205,0.026804123711340205
460,HP0461,0,0,0,0,0.0,0.0,0.0,0.0
461,HP0462,23,23,23,23,0.02102376599634369,0.02102376599634369,0.02102376599634369,0.02102376599634369
462,HP0463,39,38,38,38,0.02671232876712329,0.026027397260273973,0.026027397260273973,0.026027397260273973
463,HP0464,126,127,122,124,0.03982300884955752,0.038558786346396964,0.04013906447534766,0.039190897597977246
464,HP0465,50,52,49,49,0.026427061310782242,0.025898520084566595,0.02748414376321353,0.025898520084566595
465,HP0466,23,24,23,23,0.030104712041884817,0.030104712041884817,0.031413612565445025,0.030104712041884817
466,HP0467,13,13,13,13,0.0377906976744186,0.0377906976744186,0.0377906976744186,0.0377906976744186
467,HP0468,54,53,52,53,0.03638814016172507,0.03504043126684636,0.03571428571428571,0.03571428571428571
468,HP0469,20,20,20,20,0.041237113402061855,0.041237113402061855,0.041237113402061855,0.041237113402061855
469,HP0470,86,86,86,87,0.04962492787074437,0.04962492787074437,0.04962492787074437,0.05020196191575303
470,HP0471,47,46,46,47,0.03769045709703288,0.03688853247794707,0.03688853247794707,0.03769045709703288
471,HP0472,15,15,14,14,0.026929982046678635,0.025134649910233394,0.026929982046678635,0.025134649910233394
472,HP0473,20,20,20,19,0.027137042062415198,0.027137042062415198,0.027137042062415198,0.025780189959294438
473,HP0474,18,17,17,16,0.026825633383010434,0.02533532041728763,0.02533532041728763,0.02384500745156483
474,HP0475,24,26,24,25,0.030226700251889168,0.030226700251889168,0.0327455919395466,0.031486146095717885
475,HP0476,57,56,56,56,0.04106628242074928,0.040345821325648415,0.040345821325648415,0.040345821325648415
476,HP0477,42,42,39,39,0.038181818181818185,0.035454545454545454,0.038181818181818185,0.035454545454545454
477,HP0478,50,50,48,48,0.030599755201958383,0.02937576499388005,0.030599755201958383,0.02937576499388005
478,HP0479,32,33,32,32,0.0378698224852071,0.0378698224852071,0.03905325443786982,0.0378698224852071
479,HP0480,75,76,75,75,0.04175946547884187,0.04175946547884187,0.042316258351893093,0.04175946547884187
480,HP0481,12,12,12,11,0.0189873417721519,0.0189873417721519,0.0189873417721519,0.01740506329113924
481,HP0482,11,11,11,10,0.021611001964636542,0.021611001964636542,0.021611001964636542,0.019646365422396856
482,HP0483,29,28,28,28,0.029411764705882353,0.028397565922920892,0.028397565922920892,0.028397565922920892
483,HP0484,16,16,15,15,0.021361815754339118,0.020026702269692925,0.021361815754339118,0.020026702269692925
484,HP0485,37,37,38,37,0.039319872476089264,0.040382571732199786,0.039319872476089264,0.039319872476089264
485,HP0486,46,47,46,46,0.029058749210360075,0.029058749210360075,0.02969046114971573,0.029058749210360075
486,HP0487,45,44,43,44,0.03127171646977067,0.029881862404447533,0.030576789437109102,0.030576789437109102
487,HP0488,95,95,95,94,0.033101045296167246,0.033101045296167246,0.033101045296167246,0.032752613240418116
488,HP0489,19,20,19,19,0.021493212669683258,0.021493212669683258,0.02262443438914027,0.021493212669683258
489,HP0490,39,41,40,41,0.03442188879082083,0.0353045013239188,0.03618711385701677,0.03618711385701677
490,HP0491,13,14,13,14,0.07027027027027027,0.07027027027027027,0.07567567567567568,0.07567567567567568
491,HP0492,40,40,38,38,0.04801920768307323,0.04561824729891957,0.04801920768307323,0.04561824729891957
492,HP0493,21,20,20,19,0.01984877126654064,0.01890359168241966,0.01890359168241966,0.017958412098298678
493,HP0494,29,30,29,30,0.02292490118577075,0.02292490118577075,0.023715415019762844,0.023715415019762844
494,HP0495,5,5,5,5,0.019455252918287938,0.019455252918287938,0.019455252918287938,0.019455252918287938
495,HP0496,18,18,18,18,0.04522613065326633,0.04522613065326633,0.04522613065326633,0.04522613065326633
496,HP0497,37,37,37,37,0.027924528301886794,0.027924528301886794,0.027924528301886794,0.027924528301886794
497,HP0498,35,34,34,34,0.026415094339622643,0.025660377358490565,0.025660377358490565,0.025660377358490565
498,HP0499,32,32,31,31,0.03007518796992481,0.02913533834586466,0.03007518796992481,0.02913533834586466
499,HP0500,52,53,53,52,0.0463871543264942,0.04727921498661909,0.04727921498661909,0.0463871543264942
500,HP0501,100,102,97,98,0.04314063848144953,0.04184641932700604,0.04400345125107852,0.04227782571182054
501,HP0502,4,4,4,4,0.024844720496894408,0.024844720496894408,0.024844720496894408,0.024844720496894408
502,HP0503,13,13,13,14,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.018995929443690638
503,HP0504,3,3,3,3,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.02054794520547945
504,HP0505,17,17,15,15,0.0368763557483731,0.03253796095444685,0.0368763557483731,0.03253796095444685
505,HP0506,44,43,43,44,0.03642384105960265,0.03559602649006623,0.03559602649006623,0.03642384105960265
506,HP0507,29,28,29,27,0.04566929133858268,0.04566929133858268,0.04409448818897638,0.04251968503937008
507,HP0508,52,53,52,53,0.03837638376383764,0.03837638376383764,0.03911439114391144,0.03911439114391144
508,HP0509,70,70,70,70,0.050872093023255814,0.050872093023255814,0.050872093023255814,0.050872093023255814
509,HP0510,20,22,20,21,0.026281208935611037,0.026281208935611037,0.02890932982917214,0.02759526938239159
510,HP0511,3,3,3,3,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.02654867256637168
511,HP0512,55,58,55,55,0.03814147018030513,0.03814147018030513,0.04022191400832178,0.03814147018030513
512,HP0513,67,67,66,66,0.03395843892549417,0.03345159655347187,0.03395843892549417,0.03345159655347187
513,HP0514,14,13,13,13,0.031180400890868598,0.028953229398663696,0.028953229398663696,0.028953229398663696
514,HP0515,28,30,28,29,0.05194805194805195,0.05194805194805195,0.055658627087198514,0.05380333951762523
515,HP0516,54,56,54,53,0.04066265060240964,0.04066265060240964,0.04216867469879518,0.039909638554216864
516,HP0517,26,27,26,26,0.028729281767955802,0.028729281767955802,0.02983425414364641,0.028729281767955802
517,HP0518,43,43,43,43,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
