gene,ctrl differences,FDR,fold
HP0568,2,0.000129,0.546168146
HP0569,2,3.24e-05,0.482590176
HP0570,2,3.1e-11,0.319220692
HP0572,1,7.53e-07,0.435597037
HP0574,2,0.00269,0.654638678
HP0578,1,0.495,0.714669231
HP0580,1,0.88,0.945372087
HP0582,2,0.0306,0.671945016
HP0586,1,0.165,1.372969147
HP0587,1,0.0898,1.39345574
HP0588,1,0.529,1.141868083
HP0591,2,0.517,0.878761014
HP0592,2,0.678,1.100980782
HP0593,2,0.00332,0.573557399
HP0596,2,0.00163,0.510947123
HP0600,3,0.0132,1.74763968
HP0603,1,0.928,1.036051379
HP0607,3,4.29e-05,0.557282088
HP0609,3,4.8e-05,0.566935599
HP0610,5,0.0166,0.710267997
HP0613,1,4.37e-28,0.210145713
HP0615,1,0.129,0.808603847
HP0616,1,0.0189,1.421417722
HP0617,2,0.023,0.710519401
HP0621,3,0.26,1.33375205
HP0623,4,1.71e-05,1.952659201
HP0625,1,0.00621,1.480112677
HP0626,2,0.761,0.952135301
HP0628,1,2.9e-05,1.811792905
HP0629,1,0.0457,1.331094177
HP0632,1,0.0487,1.415368261
HP0635,1,1.37e-07,2.163415923
HP0636,1,0.169,0.772192122
HP0640,1,0.000237,2.893794543
HP0643,1,0.271,1.208978215
HP0645,3,0.0821,1.505555745
HP0646,1,1.72e-07,0.489319786
HP0648,1,0.443,0.869914286
HP0649,1,0.000953,0.560536138
HP0651,1,0.638,1.081422371
HP0654,1,0.0723,0.771332118
HP0655,2,0.171,0.803904359
HP0657,3,2.43e-09,0.402123338
HP0658,1,3.9e-05,0.502899212
HP0659,1,0.0303,0.712374145
HP0661,1,0.037,1.446737186
HP0662,2,0.195,0.693790265
HP0664,1,0.429,0.879705782
HP0666,2,0.00555,1.645189462
HP0667,1,0.886,0.970149349
HP0668,1,0.0197,1.591876959
HP0669,3,0.495,1.228028148
HP0670,1,0.233,1.546277738
HP0673,2,0.00229,0.618655856
HP0675,2,0.142,1.559225711
HP0679,1,0.586,0.905855714
HP0685,1,1.6300000000000001e-21,0.254553145
HP0687,1,0.34,1.188747178
HP0691,1,1.41e-08,0.379259962
HP0693,1,6.6e-10,0.422243112
HP0695,2,3.81e-11,0.260041787
HP0696,2,2.62e-11,0.273400671
HP0699,1,0.103,1.262278315
HP0701,2,0.00056,0.619242071
HP0705,2,0.737,1.075243205
HP0707,1,6.43e-05,1.880740493
HP0709,1,2.92e-75,0.051866224
HP0710,1,1.11e-33,0.156364396
HP0711,1,0.778,0.924886105
HP0717,3,0.977,1.006347084
HP0723,1,0.987,0.996448386
HP0725,2,7.91e-23,0.247461277
HP0726,1,0.000119,1.810995846
HP0727,1,0.0557,1.349981491
HP0728,1,0.322,1.482840303
HP0729,1,0.169,1.211926282
HP0730,1,0.709,0.926970724
HP0731,3,0.121,1.317849696
HP0733,3,0.0212,1.952514707
HP0734,1,0.00491,1.46089716
HP0740,1,0.0591,1.338228848
HP0742,2,0.0277,0.714200504
HP0743,1,0.878,0.96734007
HP0744,1,0.106,0.701694552
HP0752,4,0.00131,1.801009558
HP0758,1,5.91e-06,1.97093447
HP0759,3,0.000127,1.993726226
HP0761,1,4.61e-07,2.419062009
HP0763,1,0.0807,0.773633778
HP0764,2,0.349,1.202735884
HP0766,1,8.92e-05,1.866519975
HP0773,1,0.873,1.032555828
HP0774,1,0.13,1.268582455
HP0775,2,0.000277,1.67924103
HP0779,3,0.0345,0.681830729
HP0780,1,0.206,0.784922466
HP0781,1,0.647,1.079225757
HP0786,2,0.183,0.818707036
HP0789,1,0.00306,0.591390164
HP0790,4,0.0117,1.453389378
HP0791,2,0.4,1.144879879
HP0792,2,1.27e-06,1.988527593
HP0795,2,0.0138,0.643492828
HP0804,1,4.33e-10,0.409096347
HP0807,1,5.63e-13,0.405212781
HP0808,3,0.104,1.375327102
HP0810,1,0.769,1.102338416
HP0813,1,0.00589,1.48541341
HP0815,3,0.0198,1.389177086
HP0818,1,0.0613,0.70482564
HP0821,1,0.00161,2.246951717
HP0822,1,0.164,0.800256391
HP0825,1,0.00234,0.468305152
HP0826,1,0.00203,1.65103965
HP0828,2,0.00147,0.571761497
HP0830,1,1.27e-06,0.490346474
HP0832,1,0.00157,0.59542859
HP0839,3,0.41,1.152253645
HP0845,2,0.179,1.267735835
HP0846,1,0.586,1.490434024
HP0847,1,0.63,0.678595528
HP0850,1,0.0697,0.774075539
HP0851,1,0.463,0.890616262
HP0858,2,0.000241,0.598897928
HP0859,1,8.47e-05,0.577721594
HP0867,2,9.46e-07,2.137970511
HP0868,1,0.00143,1.616202972
HP0869,2,0.0188,1.532751967
HP0870,4,1.42e-17,0.087817354
HP0871,2,2.93e-52,0.057827784
HP0875,1,0.437,0.796379945
HP0876,2,2.55e-20,0.199713384
HP0879,1,0.438,0.858989057
